buyer_name_raw,buyer_name_canonical
Middlesbrough Council,Middlesbrough Council
Medway Council,Middlesbrough Council
London Borough of Enfield,London Borough of Enfield
Costain Limited (H7-Heathrow),Costain Limited (H7-Heathrow)
Woodley Town Council,Woodley Town Council
WELLINGBOROUGH TOWN COUNCIL,Woodley Town Council
Gosport Borough Council,Gosport Borough Council
Guildford Borough Council,Gosport Borough Council
Gedling Borough Council,Gosport Borough Council
Natural England,Natural England
Co-op Academies Trust,Co-op Academies Trust
BGIS Global Integrated Solutions Ltd,BGIS Global Integrated Solutions Ltd
The Crown Estate,The Crown Estate
Trinity House,Trinity House
Tower Hamlets,Trinity House
Broadacres Housing Association,Broadacres Housing Association
Northumberland County Council,Northumberland County Council
Nottinghamshire County Council,Northumberland County Council
Nottingham City Council,Northumberland County Council
NEWCASTLE CITY COUNCIL,Northumberland County Council
Norfolk County Council,Northumberland County Council
Epping Forest District Council,Epping Forest District Council
WANDLE HOUSING ASSOCIATION LIMITED,WANDLE HOUSING ASSOCIATION LIMITED
West Sussex County Council,West Sussex County Council
Sizewell C Limited,Sizewell C Limited
Royal National Orthopaedic Hospital NHS Trust,Royal National Orthopaedic Hospital NHS Trust
Manchester City Council,Manchester City Council
Plymouth City Council,Plymouth City Council
Peterborough City Council,Plymouth City Council
Nuclear Waste Services,Nuclear Waste Services
University Hospitals of Derby and Burton NHS Foundation Trust,University Hospitals of Derby and Burton NHS Foundation Trust
East Staffordshire Borough Council,East Staffordshire Borough Council
Lewisham Hospital NHS Trust,Lewisham Hospital NHS Trust
Havant Borough Council,Havant Borough Council
Halton Borough Council,Havant Borough Council
Hastings Borough Council,Havant Borough Council
UNIVERSITY OF EAST ANGLIA,UNIVERSITY OF EAST ANGLIA
Nuclear Restoration Services Limited (Dounreay),Nuclear Restoration Services Limited (Dounreay)
Nuclear Restoration Services Ltd (Dounreay),Nuclear Restoration Services Limited (Dounreay)
Hertfordshire County Council - Growth and Environment,Hertfordshire County Council - Growth and Environment
THE LONDON BOROUGH OF CAMDEN,THE LONDON BOROUGH OF CAMDEN
Kier Infrastructure and Overseas - CP7 NWC,Kier Infrastructure and Overseas - CP7 NWC
Braintree District Council,Braintree District Council
West Lancashire Borough Council,West Lancashire Borough Council
BIP SOLUTIONS LIMITED,BIP SOLUTIONS LIMITED
City of Bradford Metropolitan District Council,City of Bradford Metropolitan District Council
Trafford Council,Trafford Council
TORBAY COUNCIL,Trafford Council
Trafford College,Trafford Council
St George's University Hospitals NHS Foundation Trust,St George's University Hospitals NHS Foundation Trust
Norse Commercial Services Limited,Norse Commercial Services Limited
Padstow Town Council,Padstow Town Council
BOLTON AT HOME LIMITED,BOLTON AT HOME LIMITED
Places for People Group Limited,Places for People Group Limited
Ashford Borough Council,Ashford Borough Council
Cumberland Council,Cumberland Council
CROYDON COUNCIL,Cumberland Council
Cornwall Council,Cumberland Council
ROYAL SOCIETY FOR THE PROTECTION OF BIRDS,ROYAL SOCIETY FOR THE PROTECTION OF BIRDS
Yorkshire Ambulance Service NHS Trust,Yorkshire Ambulance Service NHS Trust
AUREOS HIGHWAYS LIMITED,AUREOS HIGHWAYS LIMITED
Somerset NHS Foundation Trust,Somerset NHS Foundation Trust
Stockport NHS Foundation Trust,Somerset NHS Foundation Trust
Health & Safety Executive,Health & Safety Executive
Amery Hill School,Amery Hill School
Finedon Town Council,Finedon Town Council
